1297840	3039162	en	Sant Julià de Loria	f	t	f	f
2187003	3039162	es	Sant Julià de Lòria	f	f	f	f
11352175	3039162	es	San Julián de Loria	f	f	f	f
17925145	3039162	pt	Sant Julià de Lòria	f	f	f	f
1615216	3039163	en	Sant Julià de Lòria	f	f	f	f
1615217	3039163	es	Sant Julià de Lòria	f	f	f	f
1615225	3039163	pt	Sant Julià de Lòria	f	f	f	f
1807	3039676	en	Ordino	f	t	f	f
2187002	3039676	es	Ordino	f	f	f	f
17925190	3039676	pt	Ordino	f	f	f	f
1616221	3039678	en	Ordino	f	f	f	f
1616222	3039678	es	Ordino	f	f	f	f
1616228	3039678	pt	Ordino	f	f	f	f
1904147	3040051	es	Escaldes-Engordany	f	f	f	f
1904148	3040051	en	Escaldes-Engordany	f	f	f	f
1904157	3040051	pt	Escaldes-Engordany	f	f	f	f
19466765	3040051	en	Les Escaldes	t	f	f	f
2187005	3040131	es	La Massana	f	f	f	f
17925237	3040131	pt	La Massana	f	f	f	f
17925253	3040131	en	La Massana	f	f	f	f
1615300	3040132	en	La Massana	f	f	f	f
1615301	3040132	es	La Massana	f	f	f	f
1642164	3040132	pt	La Massana	f	f	f	f
1297948	3040684	en	Encamp	f	t	f	f
2187001	3040684	es	Encamp	f	f	f	f
17925298	3040684	pt	Encamp	f	f	f	f
1903571	3040686	es	Encamp	f	f	f	f
1903574	3040686	en	Encamp	f	f	f	f
1903582	3040686	pt	Encamp	f	f	f	f
2187000	3041203	es	Canillo	f	f	f	f
17925360	3041203	pt	Canillo	f	f	f	f
17925370	3041203	en	Canillo	f	f	f	f
1904036	3041204	es	Canillo	f	f	f	f
1904038	3041204	en	Canillo	f	f	f	f
1904046	3041204	pt	Canillo	f	f	f	f
1596135	3041563	en	Andorra la Vella	f	f	f	f
1596136	3041563	es	Andorra la Vella	f	f	f	f
1596157	3041563	pt	Andorra-a-Velha	f	f	f	f
1561380	3041565	en	Andorra	t	f	f	f
1561382	3041565	es	Andorra	t	t	f	f
1561410	3041565	pt	Andorra	t	f	f	f
2728203	3041565	es	Principado de Andorra	t	f	f	f
4307283	3041565	en	Principality of Andorra	f	f	f	f
1298023	3041566	en	Andorra la Vella	f	t	f	f
2187004	3041566	es	Andorra la Vella	f	f	f	f
1381383	3338529	en	Escaldes-Engordany	f	t	f	f
2187006	3338529	es	Escaldes-Engordany	f	f	f	f
17929911	3338529	pt	Escaldes-Engordany	f	f	f	f
19466204	290503	en	Warisan	t	f	f	f
1561323	290557	en	United Arab Emirates	t	f	f	f
1561325	290557	es	Emiratos Árabes Unidos	t	f	f	f
1561355	290557	pt	Emirados Árabes Unidos	t	f	f	f
1977622	290557	pt	Emiratos Árabes Unidos	f	f	f	f
